job_id,job_type,priority,n_tasks,deadline_min,scheduling_time_s,energy_wh,carbon_gco2,carbon_saved_pct,sla_compliance,total_cost_usd,avg_utilization,status
JOB-0023,llm_inference,HIGH,3,62,0.0,1.6479,0.5768,0.0,100.0,0.0139,45.0,SUCCESS
JOB-0024,model_serving,HIGH,4,45,0.0,1.7056,0.5969,0.0,100.0,0.0126,45.0,SUCCESS
JOB-0025,hyperparameter_tuning,HIGH,4,85,0.0,31.5208,11.0323,0.0,100.0,0.2594,45.0,SUCCESS
JOB-0026,model_training,CRITICAL,5,24,0.0,22.4961,7.8736,0.0,100.0,0.1868,45.0,SUCCESS
JOB-0027,data_preprocessing,NORMAL,4,169,0.0,6.7236,2.3533,0.0,100.0,0.0505,45.0,SUCCESS
JOB-0028,llm_inference,CRITICAL,3,15,0.0,2.7528,0.9635,0.0,100.0,0.0234,45.0,SUCCESS
JOB-0029,model_serving,HIGH,4,54,0.0,1.619,0.5666,0.0,100.0,0.0116,45.0,SUCCESS
JOB-0030,model_serving,NORMAL,4,151,0.0,1.8222,0.6378,0.0,100.0,0.014,45.0,SUCCESS
JOB-0031,batch_prediction,NORMAL,4,100,0.0,6.6819,2.3387,0.0,100.0,0.0559,45.0,SUCCESS
JOB-0032,model_serving,HIGH,4,34,0.0,1.4722,0.5153,0.0,100.0,0.0114,45.0,SUCCESS
JOB-0033,batch_prediction,BACKGROUND,4,437,0.0,6.0063,2.1022,0.0,100.0,0.0485,45.0,SUCCESS
JOB-0034,feature_engineering,NORMAL,3,110,0.0,6.1125,2.1394,0.0,100.0,0.0475,45.0,SUCCESS
JOB-0035,model_validation,BACKGROUND,4,408,0.0,5.1681,1.8088,0.0,100.0,0.0425,45.0,SUCCESS
JOB-0036,model_training,HIGH,5,48,0.0,18.0292,6.3102,0.0,100.0,0.1488,45.0,SUCCESS
JOB-0037,model_validation,CRITICAL,4,14,0.0,5.3819,1.8837,0.0,100.0,0.0413,45.0,SUCCESS
JOB-0038,model_training,HIGH,5,46,0.0,21.7479,7.6118,0.0,100.0,0.179,45.0,SUCCESS
JOB-0039,model_validation,CRITICAL,4,14,0.0,4.4146,1.5451,0.0,100.0,0.0333,45.0,SUCCESS
JOB-0040,model_validation,HIGH,4,34,0.0,5.0681,1.7738,0.0,100.0,0.0386,45.0,SUCCESS
JOB-0041,data_preprocessing,CRITICAL,4,19,0.0,6.3347,2.2172,0.0,100.0,0.0489,45.0,SUCCESS
