job_id,job_type,priority,n_tasks,deadline_min,scheduling_time_s,energy_wh,carbon_gco2,carbon_saved_pct,best_time_slot,sla_compliance,escalation,total_cost_usd,avg_utilization,scale_actions,status
JOB-0086,model_serving,NORMAL,4,165,0.013,0.993,0.4105,29.1,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0087,model_serving,CRITICAL,4,19,0.012,1.163,0.4911,26.5,12:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0088,batch_prediction,CRITICAL,4,26,0.012,4.696,2.0559,23.7,12:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0089,model_serving,NORMAL,4,138,0.011,1.289,0.5467,23.7,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0090,model_training,HIGH,5,40,0.011,11.481,4.6743,30.1,13:00,100.0,NONE,0.125,51.3,5,SUCCESS
JOB-0091,model_serving,BACKGROUND,4,352,0.014,1.044,0.4412,22.4,12:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0092,batch_prediction,NORMAL,4,114,0.012,5.052,1.993,33.8,14:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0093,batch_prediction,HIGH,4,49,0.011,3.904,1.5839,30.1,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0094,model_validation,BACKGROUND,4,376,0.013,3.815,1.5554,27.2,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0095,model_serving,CRITICAL,4,10,0.011,1.267,0.5472,25.8,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0096,llm_inference,NORMAL,3,126,0.012,1.622,0.6799,28.7,13:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0097,model_validation,HIGH,4,60,0.011,3.904,1.6806,26.2,12:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0098,feature_engineering,NORMAL,3,148,0.011,5.193,2.2606,27.4,12:00,100.0,NONE,0.075,51.3,3,SUCCESS
JOB-0099,hyperparameter_tuning,CRITICAL,4,22,0.012,20.948,8.7332,26.8,13:00,100.0,NONE,0.1,51.3,4,SUCCESS
JOB-0100,llm_inference,BACKGROUND,3,375,0.011,1.252,0.5154,29.1,12:00,100.0,NONE,0.075,51.3,3,SUCCESS
